Det Name	LaBrPos	LaBrSigma	NaIPos	NaISigma	theta	sin	cos	tan
PARIS_BR1D1	0.001875	0.0309138	0.615625	0.0309138	0.122783	0.122475	0.992472	0.123404
PARIS_BR1D2	0.064375	0.0177139	0.624375	0.0177139	0.28173	0.278018	0.960576	0.289428
PARIS_BR1D3	0.000625	0.0177952	0.625625	0.0177952	0.169478	0.168668	0.985673	-0.17112
PARIS_BR1D4	0.074375	0.0183971	0.630625	0.0183971	0.194273	0.193053	0.981188	0.196755
PARIS_BR1D5	0.074375	0.0263468	0.625625	0.0263468	0.193029	0.191833	0.981428	0.195463
PARIS_BR1D6	0.076875	0.0190726	0.631875	0.0190726	0.262121	0.25913	0.965842	0.268294
PARIS_BR1D7	0.063125	0.0181279	0.635625	0.0181279	0.21596	0.214285	0.976771	0.219381
PARIS_BR1D8	0.079375	0.01728	0.639375	0.01728	0.276444	0.272936	0.962032	0.283708
PARIS_BR2D1	0.075625	0.0230158	0.630625	0.0230158	0.142182	0.141704	0.989909	0.143148
PARIS_BR2D2	0.031875	0.015459	0.644375	0.015459	0.234804	0.232653	0.97256	0.239217
PARIS_BR2D3	0.004375	0.0177634	0.608125	0.0177634	0.0238133	0.023811	0.999716	-0.0238178
PARIS_BR2D4	-0.004375	0.0177429	0.619375	0.0177429	0.35682	0.349296	0.937012	-0.372776
PARIS_BR2D5	-0.003125	0.0268367	0.633125	0.0268367	0.0444034	0.0443888	0.999014	0.0444326
PARIS_BR2D6	0.023125	0.0173879	0.631875	0.0173879	0.218121	0.216396	0.976306	0.221647
PARIS_BR2D7	0.011875	0.0196437	0.629375	0.0196437	0.0411843	0.0411726	0.999152	0.0412076
PARIS_BR2D8	-0.004375	0.0157464	0.620625	0.0157464	0.128598	0.128244	0.991743	0.129312
PARIS_BR2D9	0.001875	0.0262857	0.624375	0.0262857	0.52729	0.503194	0.864174	-0.582283
PARIS_BR2D10	0.000625	0.0173629	0.609375	0.0173629	0.0788167	0.0787351	0.996896	-0.0789803
