Detector_Name 	 dx3 	 cx2 	 ax 	 b
R2A1_red	0	0	0.0208434	-0.180334
R2A1_green	0	0	0.0206718	0.312739
R2A1_black	0	0	0.0203103	0.474065
R2A1_blue	0	0	0.0163728	0.0378302
R2A2_red	0	0	0.0206982	0.267997
R2A2_green	0	0	0.0208462	-0.221614
R2A2_black	0	0	0.0207507	-0.120275
R2A2_blue	0	0	0.020869	-0.123579
R2A3_red	0	0	0.0233328	0.110382
R2A3_green	0	0	0.0327077	-0.223922
R2A3_black	0	0	0.0208261	0.108561
R2A3_blue	0	0	0.0235412	0.369255
R2A4_red	0	0	0.0237917	-0.278371
R2A4_green	0	0	0.020809	0.357945
R2A4_black	0	0	0.0200873	0.392285
R2A4_blue	0	0	0.0207337	-0.0434122
R2A5_red	0	0	0.0225327	0.0234574
R2A5_green	0	0	0.0556343	-0.300258
R2A5_black	0	0	0.0194479	0.031241
R2A5_blue	0	0	0.0404013	-4.54006
R2A6_red	0	0	0.02111	0.18528
R2A6_green	0	0	0.0211767	0.379377
R2A6_black	0	0	0.020124	0.0860757
R2A6_blue	0	0	0.0206353	0.305865
R2A7_red	0	0	0.020525	-0.0703778
R2A7_green	0	0	0.0169403	0.421433
R2A7_black	0	0	0.0170738	0.184906
R2A7_blue	0	0	0.0173218	-0.134337
R2A8_red	0	0	0.0238936	-0.260875
R2A8_green	0	0	0.0225339	0.144816
R2A8_black	0	0	0.0233393	0.0595388
R2A8_blue	0	0	0.0114367	-51.3265
R2A9_red	0	0	0.0152185	-14.269
R2A9_green	0	0	0.0173372	0.139298
R2A9_black	0	0	0.0164726	-0.117179
R2A9_blue	0	0	0.0196399	0.120184
R2A10_red	0	0	0.0215214	-0.0470083
R2A10_green	0	0	0.0221435	-0.0746812
R2A10_black	0	0	0.0203279	0.111627
R2A10_blue	0	0	0.021777	-0.0978411
R2A11_red	0	0	0.016505	0.400591
R2A11_green	0	0	0.0167248	-0.022187
R2A11_black	0	0	0.0164103	-0.111379
R2A11_blue	0	0	0.0211156	-0.266586
R2A12_red	0	0	0.0149868	-240.358
R2A12_green	0	0	0.0213119	-0.0134012
R2A12_black	0	0	0.0211484	0.269772
R2A12_blue	0	0	0.0211921	-0.140119
R3A1_red	0	0	0.0228516	0.171774
R3A1_green	0	0	0.0250745	0.301627
R3A1_black	0	0	0.019049	0.326532
R3A1_blue	0	0	0.0141056	-9.97861
R3A2_red	0	0	0.0208211	-0.0704361
R3A2_green	0	0	0.0206509	0.201423
R3A2_black	0	0	0.015012	-1.05384
R3A2_blue	0	0	0.0164206	0.122519
R3A3_red	0	0	0.0206249	0.239528
R3A3_green	0	0	0.0203874	-0.255463
R3A3_black	0	0	0.0211727	-0.0912784
R3A3_blue	0	0	0.020612	0.187559
R3A4_red	0	0	0.0228959	-0.163994
R3A4_green	0	0	0.0208485	-0.0727188
R3A4_black	0	0	0.0216359	-0.171525
R3A4_blue	0	0	0.0167621	0.0448032
R3A5_red	0	0	0.0256728	0.079212
R3A5_green	0	0	0.0231734	0.0987202
R3A5_black	0	0	0.0249255	0.0944208
R3A5_blue	0	0	0.0227903	0.755431
R3A6_red	0	0	0.0139709	-32.4497
R3A6_green	0	0	0.0113813	-9.99295
R3A6_black	0	0	0.0237382	-0.459975
R3A6_blue	0	0	0.0201487	0.448488
R3A7_red	0	0	0.0170089	0.00341462
R3A7_green	0	0	0.0204697	0.195227
R3A7_black	0	0	0.0142239	-0.102188
R3A7_blue	0	0	0.0207555	0.356439
R3A8_red	0	0	0.0142749	-41.9159
R3A8_green	0	0	0.0137131	-4.20654
R3A8_black	0	0	0.0344908	-21.7698
R3A8_blue	0	0	0.0164004	-0.555592
R3A9_red	0	0	0.0210342	0.431289
R3A9_green	0	0	0.0209176	0.508364
R3A9_black	0	0	0.0214043	0.265856
R3A9_blue	0	0	0.0211397	0.0875528
R3A10_red	0	0	0.0213063	-0.115763
R3A10_green	0	0	0.0133571	-15.7522
R3A10_black	0	0	0.032992	0.300234
R3A10_blue	0	0	0.0243977	0.0399303
R3A11_red	0	0	0.0143441	-1.42912
R3A11_green	0	0	0.0219052	0.295334
R3A11_black	0	0	0.0220674	0.429615
R3A11_blue	0	0	0.0213063	0.255855
R3A12_red	0	0	0.0146589	-0.38539
R3A12_green	0	0	0.0213982	0.340177
R3A12_black	0	0	0.0206938	0.208041
R3A12_blue	0	0	0.0197297	0.213338
PARIS_BR1D1	0	-9.16812e-11	0.0163049	-3.99586
PARIS_BR1D1	0	0	1	0
PARIS_BR1D2	0	-5.40124e-10	0.0167202	6.44063
PARIS_BR1D2	0	0	1	0
PARIS_BR1D3	0	3.27963e-10	0.0162678	10.9748
PARIS_BR1D3	0	0	1	0
PARIS_BR1D4	0	4.31984e-09	0.0146955	139.051
PARIS_BR1D4	0	0	1	0
PARIS_BR1D5	0	-1.61119e-11	0.0168438	-13.4046
PARIS_BR1D5	0	0	1	0
PARIS_BR1D6	0	-4.59527e-10	0.016703	-12.1942
PARIS_BR1D6	0	0	1	0
PARIS_BR1D7	0	2.79925e-10	0.0162957	7.85953
PARIS_BR1D7	0	0	1	0
PARIS_BR1D8	0	1.42495e-09	0.0153794	46.8241
PARIS_BR1D8	0	0	1	0
PARIS_BR2D1	0	1.71626e-09	0.0152048	12.7928
PARIS_BR2D1	0	0	1	0
PARIS_BR2D2	0	-4.45586e-08	0.0275268	-723.44
PARIS_BR2D2	0	0	1	0
PARIS_BR2D3	0	1.31245e-09	0.0163467	10.7271
PARIS_BR2D3	0	0	1	0
PARIS_BR2D4	0	3.26639e-09	0.0200811	-50.8016
PARIS_BR2D4	0	0	1	0
PARIS_BR2D5	0	-1.47583e-10	0.0169154	-6.39214
PARIS_BR2D5	0	0	1	0
PARIS_BR2D6	0	1.54156e-10	0.0159697	11.6525
PARIS_BR2D6	0	0	1	0
PARIS_BR2D7	0	1.42955e-09	0.0156788	7.67777
PARIS_BR2D7	0	0	1	0
PARIS_BR2D8	0	-3.94599e-09	0.0193908	-89.509
PARIS_BR2D8	0	0	1	0
PARIS_BR2D9	0	2.49729e-11	0.0165682	-3.52823
PARIS_BR2D9	0	0	1	0
PARIS_BR2D10	0	-3.71386e-09	0.0187437	-39.8416
PARIS_BR2D10	0	0	1	0
PARIS_BR2D11	0	7.35413e-10	0.0164772	2.81767
PARIS_BR2D11	0	0	1	0
PARIS_BR2D12	0	1.3162e-10	0.0166144	20.4512
PARIS_BR2D12	0	0	1	0
PARIS_BR2D13	0	3.32166e-10	0.0167475	-0.147592
PARIS_BR2D13	0	0	1	0
PARIS_BR2D14	0	1.76895e-09	0.0158541	4.982
PARIS_BR2D14	0	0	1	0
PARIS_BR2D15	0	1.52828e-08	0.0120946	16.7621
