# Spectre_numero    Detecteur       a_opt         b_opt  
1000           PARIS50        1.025195     0.000343     
1000           PARIS70        1.033638     0.001023     
1000           PARIS90        0.976282     0.000561     
1000           PARIS110       1.019141     0.000640     
1000           PARIS130       0.962402     0.000531     
1000           PARIS235       1.007962     -0.000174    
1000           PARIS262       0.952620     -0.000176    
1000           PARIS278       0.984388     0.000477     
1000           PARIS305       0.992751     0.000465     
1001           PARIS50        1.010840     0.000848     
1001           PARIS70        1.015234     0.000743     
1001           PARIS90        0.989560     0.001151     
1001           PARIS110       1.000050     2.418018     
1001           PARIS130       0.965820     0.001273     
1001           PARIS235       1.009863     -0.000275    
1001           PARIS262       0.947949     0.000005     
1001           PARIS278       0.979590     -0.000074    
1001           PARIS305       0.992700     -0.000380    
1002           PARIS50        0.996777     0.000758     
1002           PARIS70        1.004370     0.000549     
1002           PARIS90        0.986230     0.000284     
1002           PARIS110       1.007882     0.000615     
1002           PARIS130       0.982807     0.000473     
1002           PARIS235       1.014596     0.000227     
1002           PARIS262       0.939658     0.000044     
1002           PARIS278       0.984081     0.000678     
1002           PARIS305       0.996875     -0.000055    
1003           PARIS50        0.994090     0.006299     
1003           PARIS70        0.995117     0.001137     
1003           PARIS90        0.990332     0.000212     
1003           PARIS110       1.000050     2.408431     
1003           PARIS130       0.996106     0.000763     
1003           PARIS235       1.191602     0.000187     
1003           PARIS262       0.947754     0.000131     
1003           PARIS278       0.980514     -0.042340    
1003           PARIS305       0.991224     0.000283     
1004           PARIS50        0.996380     0.000615     
1004           PARIS70        0.992578     0.000112     
1004           PARIS90        0.982731     0.000128     
1004           PARIS110       1.007148     2.064098     
1004           PARIS130       0.978613     0.000522     
1004           PARIS235       1.771641     0.000904     
1004           PARIS262       0.946010     -0.000158    
1004           PARIS278       0.982608     -0.026150    
1004           PARIS305       0.994763     0.000460     
1005           PARIS50        0.993457     0.000266     
1005           PARIS70        1.002246     0.000119     
1005           PARIS90        0.980859     -0.000015    
1005           PARIS110       1.007973     0.000540     
1005           PARIS130       0.997290     0.000544     
1005           PARIS235       1.771875     0.000594     
1005           PARIS262       0.945117     0.000204     
1005           PARIS278       0.975293     0.000156     
1005           PARIS305       0.992326     0.000235     
1006           PARIS50        0.995905     0.000357     
1006           PARIS70        0.996695     0.000766     
1006           PARIS90        0.982910     0.000105     
1006           PARIS110       1.003023     0.000676     
1006           PARIS130       0.980779     0.739996     
1006           PARIS235       1.748911     0.000621     
1006           PARIS262       0.975628     -6.282548    
1006           PARIS278       0.977124     -0.000130    
1006           PARIS305       0.984180     -0.000398    
1007           PARIS50        0.987370     0.103441     
1007           PARIS70        0.990932     0.000485     
1007           PARIS90        0.986169     -2.014926    
1007           PARIS110       1.002526     0.000657     
1007           PARIS130       0.978174     0.000492     
1007           PARIS235       1.441842     0.001093     
1007           PARIS262       0.944238     0.000014     
1007           PARIS278       0.985233     -1.374432    
1007           PARIS305       0.986035     -0.000028    
1008           PARIS50        0.992480     0.000831     
1008           PARIS70        0.995606     0.000513     
1008           PARIS90        0.991431     -1.053476    
1008           PARIS110       1.002930     0.000850     
1008           PARIS130       0.987549     0.000469     
1008           PARIS235       1.720313     0.000816     
1008           PARIS262       0.947559     0.000069     
1008           PARIS278       0.975293     0.000468     
1008           PARIS305       0.991634     0.000474     
1009           PARIS50        0.999996     0.519141     
1009           PARIS70        0.993494     0.011787     
1009           PARIS90        0.982593     -0.000019    
1009           PARIS110       1.005359     0.000514     
1009           PARIS130       0.983361     0.000542     
1009           PARIS235       1.772384     0.000471     
1009           PARIS262       0.971249     -6.219223    
1009           PARIS278       0.979883     0.000113     
1009           PARIS305       0.992773     0.000268     
1010           PARIS50        0.999998     1.499566     
1010           PARIS70        0.997754     0.000568     
1010           PARIS90        0.987354     -0.000656    
1010           PARIS110       1.003125     0.000805     
1010           PARIS130       0.981885     0.000358     
1010           PARIS235       1.485137     0.000470     
1010           PARIS262       0.961033     -4.797914    
1010           PARIS278       0.976465     0.000184     
1010           PARIS305       0.992664     0.000533     
1011           PARIS50        0.997147     3.941942     
1011           PARIS70        1.007159     0.000904     
1011           PARIS90        0.986230     -0.000091    
1011           PARIS110       1.011426     0.000643     
1011           PARIS130       0.984985     0.000730     
1011           PARIS235       1.038818     -0.001878    
1011           PARIS262       0.937988     0.000155     
1011           PARIS278       0.986759     0.145368     
1011           PARIS305       0.997542     -0.000198    
1014           PARIS50        1.010645     0.001036     
1014           PARIS70        1.016257     0.000424     
1014           PARIS90        0.996338     0.000393     
1014           PARIS110       1.006659     1.924343     
1014           PARIS130       0.974805     0.000344     
1014           PARIS235       1.006413     -0.000190    
1014           PARIS262       0.955884     -0.000355    
1014           PARIS278       0.984149     -0.000398    
1014           PARIS305       0.997303     0.000551     
1015           PARIS50        0.985922     4.096155     
1015           PARIS70        0.999865     3.607693     
1015           PARIS90        0.993555     -0.000015    
1015           PARIS110       0.995774     2.758686     
1015           PARIS130       0.971094     0.000572     
1015           PARIS235       1.006152     0.000047     
1015           PARIS262       0.939551     -0.000036    
1015           PARIS278       0.988086     0.000436     
1015           PARIS305       0.997155     0.000559     
1016           PARIS50        0.999994     0.543638     
1016           PARIS70        1.016786     0.000664     
1016           PARIS90        0.995508     0.000167     
1016           PARIS110       1.000050     2.415891     
1016           PARIS130       0.979102     0.000599     
1016           PARIS235       1.020215     0.000012     
1016           PARIS262       0.950342     0.000187     
1016           PARIS278       0.982896     -0.281068    
1016           PARIS305       0.996210     0.000028     
1017           PARIS50        0.988574     0.000466     
1017           PARIS70        0.997803     0.000380     
1017           PARIS90        0.987402     0.000031     
1017           PARIS110       1.006177     0.000690     
1017           PARIS130       0.984721     0.421792     
1017           PARIS235       1.564526     0.000456     
1017           PARIS262       0.950684     0.000186     
1017           PARIS278       0.984424     -0.000149    
1017           PARIS305       0.997437     0.000694     
1018           PARIS50        0.994708     0.001763     
1018           PARIS70        0.995040     0.000601     
1018           PARIS90        0.989910     -1.107004    
1018           PARIS110       1.006527     0.000652     
1018           PARIS130       0.978491     0.000616     
1018           PARIS235       1.010156     0.000850     
1018           PARIS262       0.941211     -0.000083    
1018           PARIS278       0.981274     0.000109     
1018           PARIS305       1.000004     -0.525443    
1019           PARIS50        0.991099     0.000480     
1019           PARIS70        0.990037     0.140760     
1019           PARIS90        0.985170     -0.124057    
1019           PARIS110       1.007715     0.000731     
1019           PARIS130       0.971191     0.000697     
1019           PARIS235       0.968555     0.000829     
1019           PARIS262       0.935651     -0.000049    
1019           PARIS278       0.979374     -0.000290    
1019           PARIS305       1.001929     -0.000076    
1020           PARIS50        0.993517     0.000357     
1020           PARIS70        0.989058     0.003719     
1020           PARIS90        0.982227     -0.000206    
1020           PARIS110       1.002803     0.000812     
1020           PARIS130       0.974719     0.000575     
1020           PARIS235       0.968152     0.000705     
1020           PARIS262       0.945554     0.000119     
1020           PARIS278       0.980755     -0.028121    
1020           PARIS305       0.995342     -0.221804    
1021           PARIS50        0.987183     0.000845     
1021           PARIS70        0.981792     -0.007861    
1021           PARIS90        0.977572     -0.894238    
1021           PARIS110       1.006055     0.000610     
1021           PARIS130       0.979263     0.000699     
1021           PARIS235       0.967920     0.000768     
1021           PARIS262       0.937402     0.000156     
1021           PARIS278       0.977287     -0.012643    
1021           PARIS305       1.000003     -0.524148    
1022           PARIS50        0.986804     0.000595     
1022           PARIS70        0.990643     0.000484     
1022           PARIS90        0.980664     0.000111     
1022           PARIS110       1.006512     1.767402     
1022           PARIS130       0.980676     0.000383     
1022           PARIS235       0.044976     32.660258    
1022           PARIS262       0.992512     -6.217468    
1022           PARIS278       0.983652     0.005383     
1022           PARIS305       0.997415     0.000643     
1023           PARIS50        0.991373     0.000597     
1023           PARIS70        0.992873     -0.000238    
1003           PARIS50        1.000000     0.388617     
1003           PARIS70        1.000000     0.469079     
1003           PARIS90        1.000000     0.332116     
1003           PARIS110       1.000000     0.628059     
1003           PARIS130       1.000000     0.466086     
1003           PARIS235       1.000000     11.508914    
1003           PARIS262       1.000000     0.122851     
1003           PARIS278       1.000000     0.278501     
1003           PARIS305       1.000000     0.308878     
1000           PARIS50        1.000000     0.560515     
1000           PARIS70        1.000000     0.694354     
1000           PARIS90        1.000000     0.493929     
1000           PARIS110       1.000000     0.653054     
1000           PARIS130       1.000000     0.445245     
1000           PARIS235       1.000000     0.508950     
1000           PARIS262       1.000000     0.249850     
1000           PARIS278       1.000000     0.498798     
1000           PARIS305       1.000000     0.428833     
1001           PARIS50        1.000000     0.641316     
